All,सभी
"Refund Shipping","वापसी शिपिंग"
"Update Qty's","अद्यतन मात्रा"
"Update Totals","आज तक का योग"
Refund,"धन की वापसी"
"Refund Offline","ऑफ़लाइन वापसी करें"
"Paid Amount","भरी गई राशि"
"Refund Amount","वापसी राशि"
"Shipping Amount","शिपिंग राशि"
"Shipping Refund","शिपिंग रिफंड"
"Order Grand Total","ऑर्डर ग्रैंड टोटल"
"Adjustment Refund","समायोजन वापसी"
"Adjustment Fee","समायोजन शुल्क"
"Send Email","ईमेल भेजें"
"Are you sure you want to send a credit memo email to customer?","क्या आप वाकई ग्राहक को एक क्रेडिट मेमो ईमेल भेजना चाहते हैं?"
Void,शून्य
Print,छाप
"The credit memo email was sent.","क्रेडिट मेमो ईमेल भेजा गया था।"
"The credit memo email wasn't sent.","क्रेडिट मेमो ईमेल नहीं भेजा गया था।"
"Credit Memo #%1 | %3 | %2 (%4)","क्रेडिट मेमो #%1 | %3 | %2 (%4)"
"Total Refund","कुल वापसी"
"New Invoice and Shipment for Order #%1","आदेश # 1 के लिए नया चालान और शिपमेंट"
"New Invoice for Order #%1","ऑर्डर के लिए नया चालान #%1"
"Submit Invoice and Shipment","चालान और शिपमेंट जमा करें"
"Submit Invoice","चालान जमा करें"
"Are you sure you want to send an invoice email to customer?","क्या आप वाकई ग्राहक को एक चालान ईमेल भेजना चाहते हैं?"
"Credit Memo","क्रेडिट ज्ञापन"
Capture,कब्जा
"The invoice email was sent.","चालान ईमेल भेजा गया था।"
"The invoice email wasn't sent.","चालान ईमेल नहीं भेजा गया था।"
"Invoice #%1 | %2 | %4 (%3)","चालान #%1 | %2 | %4 (%3)"
"Invalid parent block for this block","इस ब्लॉक के लिए अमान्य पैरेंट ब्लॉक"
"Order Statuses","आदेश क़ानून"
"Create New Status","नई स्थिति बनाएँ"
"Assign Status to State","राज्य का दर्जा दें"
"Save Status Assignment","सहेजें स्थिति असाइनमेंट"
"Assign Order Status to State","राज्य को आदेश की स्थिति सौंपें"
"Assignment Information","असाइनमेंट की जानकारी"
"Order Status","आदेश की स्थिति"
"Order State","आदेश राज्य"
"Use Order Status As Default","डिफ़ॉल्ट के रूप में ऑर्डर की स्थिति का उपयोग करें"
"Visible On Storefront","स्टोरफ़्रंट पर दृश्यमान"
"Edit Order Status","आदेश स्थिति संपादित करें"
"Save Status","स्थिति सहेजें"
"New Order Status","नई व्यवस्था की स्थिति"
"Order Status Information","आदेश स्थिति की जानकारी"
"Status Code","स्थिति का कोड"
"Status Label","स्थिति लेबल"
"Store View Specific Labels","स्टोर विशिष्ट लेबल देखें"
"Total Paid","कुल भुगतान हो गया"
"Total Refunded","कुल वापसी"
"Total Due","कुल बचे"
"Are you sure you want to send an order email to customer?","क्या आप वाकई ग्राहक को ऑर्डर ईमेल भेजना चाहते हैं?"
